Número de artículo,Descripción del artículo,En stock,Comprometido,Solicitado,Disponible,Unidad de medida,PRECIOVENTA,IMAGEN,STOCK EN BODEGA,UBICACION,DISPONIBILIDAD
W004600050,DEANNA,,,,,,$290.00,STOCK SAP_Images/W004600050.jpg,,,
W004583901,CANASTA DE PASTOS MARINOS,,,,,,$250.00,STOCK SAP_Images/W004583901.jpg,,,
W004558663P,CEMIL,,,,,,$790.00,STOCK SAP_Images/W004558663P.jpg,,,
W004558663,CEMIL,,,,,,$590.00,STOCK SAP_Images/W004558663.jpg,,,
W004522841,AMETHY COFFE TABLE,,,,,,$0.00,STOCK SAP_Images/W004522841.jpg,,,
W004432096,SET 2 SOLID WOOD OFFICE DESKTOP BOOKENDS,,,,,,$90.00,STOCK SAP_Images/W004432096.jpg,,,
W004409244,TEMECULA  BOWL,,,,,,$225.00,STOCK SAP_Images/W004409244.jpg,,,
W004376479,HURRICANE TABLE,,,,,,$490.00,STOCK SAP_Images/W004376479.jpg,,,
W004202394,ALBANO STRIPES,,,,,,$160.00,STOCK SAP_Images/W004202394.jpg,,,
W004200124,SET 2 RENAISSANCE MARBLE BOOKENDS,,,,,,$535.00,STOCK SAP_Images/W004200124.jpg,,,
W004132497,MODERNA,,,,,,$890.00,STOCK SAP_Images/W004132497.jpg,,,
W004037865,ALPHARETTA DOLOMITE JAR,1,,,1,,$750.00,STOCK SAP_Images/W004037865.jpg,,,
W00285906,QUIDNET LAMP,,,,,,$315.00,STOCK SAP_Images/W00285906.jpg,,,
W001465842,FALBO TABLE,,,,,,$650.00,STOCK SAP_Images/W001465842.jpg,,,
W00035987,WETZEL,,,,,,$54.00,STOCK SAP_Images/W00035987.jpg,,,
"VYQ10571,OREGONIA END TABLE,,,,,,""$1,290.00"",STOCK SAP_Images/VYQ10571.jpg,,,"
VYQ10164,POLARIS,1,,,1,,$290.00,STOCK SAP_Images/VYQ10164.jpg,,,
VILTISUMT,MESA AUXILIAR 2022 C,1,,,1,,$290.00,STOCK SAP_Images/VILTISUMT.jpg,,,
"VILLA GARDEN,VILLA GARDEN MURAL/CON INSTALACION,,,,,,""$1,995.00"",STOCK SAP_Images/VILLA GARDEN.jpg,,,"
VG020640,INFINITY BOUCLE 891,1,,,1,,$0.01,STOCK SAP_Images/VG020640.jpg,,,
VG019618,LOVE IT 494,1,,,1,,$0.01,STOCK SAP_Images/VG019618.jpg,,,
VG019616,PALLADIUM 981,1,,,1,,$0.01,STOCK SAP_Images/VG019616.jpg,,,
VG019615,NOCTURNE 883,1,,,1,,$0.01,STOCK SAP_Images/VG019615.jpg,,,
VG019614,CAECIL RE 895,1,,,1,,$0.01,STOCK SAP_Images/VG019614.jpg,,,
VG019613,ZOE RE 992,1,,,1,,$0.01,STOCK SAP_Images/VG019613.jpg,,,
VG019612,CIRRUS RE 893,1,,,1,,$0.01,STOCK SAP_Images/VG019612.jpg,,,
VG019611,BRUSHED LINEN 897,1,,,1,,$0.01,STOCK SAP_Images/VG019611.jpg,,,
VG019610,COZY 980,1,,,1,,$0.01,STOCK SAP_Images/VG019610.jpg,,,
VG019609,PERGAMON 990,1,,,1,,$0.01,STOCK SAP_Images/VG019609.jpg,,,
VG019608,CORARO 990,1,,,1,,$0.01,STOCK SAP_Images/VG019608.jpg,,,
VG019607,NUBUK 826,1,,,1,,$0.01,STOCK SAP_Images/VG019607.jpg,,,
VG019601,DYMOND 993,1,,,1,,$0.01,STOCK SAP_Images/VG019601.jpg,,,
VG019600,MILETUS 854,1,,,1,,$0.01,STOCK SAP_Images/VG019600.jpg,,,
VG019599,SPAZIO 983,1,,,1,,$0.01,STOCK SAP_Images/VG019599.jpg,,,
VG019598,QUADRA 982,1,,,1,,$0.01,STOCK SAP_Images/VG019598.jpg,,,
VG019597,MOON SHADOW FR RE 195,1,,,1,,$0.01,STOCK SAP_Images/VG019597.jpg,,,
VG019595,ASNI 887,1,,,1,,$0.01,STOCK SAP_Images/VG019595.jpg,,,
VG019594,NOGA 880,1,,,1,,$0.01,STOCK SAP_Images/VG019594.jpg,,,
VG019593,ANDRIA 883,1,,,1,,$0.01,STOCK SAP_Images/VG019593.jpg,,,
VG019592,LICATA 880,1,,,1,,$0.01,STOCK SAP_Images/VG019592.jpg,,,
VG019591,MEZZANA 883,1,,,1,,$0.01,STOCK SAP_Images/VG019591.jpg,,,
VG019590,BELOHA 880,1,,,1,,$0.01,STOCK SAP_Images/VG019590.jpg,,,
